ID	ORF	UniGeneHsID
10443_at	N4BP2L2	Hs.507680
10444_at	ZER1	Hs.147950
10445_at	MCRS1	Hs.25313
10446_at	LRRN2	Hs.26312
10449_at	ACAA2	Hs.200136
1045_at	CDX2	Hs.174249
10450_at	PPIE	Hs.524690
10451_at	VAV3	Hs.267659
10454_at	MAP3K7IP1	Hs.507681
10455_at	PECI	Hs.15250
10456_at	HAX1	Hs.199625
10457_at	GPNMB	Hs.190495
10458_at	BAIAP2	Hs.128316
10459_at	MAD2L2	Hs.19400
1046_at	CDX4	Hs.553488
10460_at	TACC3	Hs.104019
10461_at	MERTK	Hs.306178
10462_at	CLEC10A	Hs.54403
10463_at	SLC30A9	Hs.479634
10464_at	PIBF1	Hs.441926
10465_at	PPIH	Hs.256639
10466_at	COG5	Hs.239631; Hs.658093; Hs.97627
10467_at	ZNHIT1	Hs.211079
10468_at	FST	Hs.9914
10469_at	TIMM44	Hs.465784
1047_at	CLGN	Hs.86368
10471_at	PFDN6	Hs.446374
10472_at	ZNF238	Hs.69997
10473_at	HMGN4	Hs.236774
10474_at	TADA3L	Hs.386390
10475_at	TRIM38	Hs.584851
10478_at	SLC25A17	Hs.474938
10479_at	SLC9A6	Hs.62185
1048_at	CEACAM5	Hs.709196
10480_at	EIF3M	Hs.502244
10481_at	HOXB13	Hs.66731
10482_at	NXF1	Hs.523739; Hs.601546
10483_at	SEC23B	Hs.369373; Hs.460238
10484_at	SEC23A	Hs.272927
10485_at	C1orf61	Hs.380027
10486_at	CAP2	Hs.132902
10487_at	CAP1	Hs.370581
10488_at	CREB3	Hs.522110
10489_at	LRRC41	Hs.144941
10490_at	VTI1B	Hs.226007
10491_at	CRTAP	Hs.719160
10492_at	SYNCRIP	Hs.571177
10493_at	VAT1	Hs.514199
10494_at	STK25	Hs.516807
10495_at	ENOX2	Hs.171458
10497_at	UNC13B	Hs.493791
10498_at	CARM1	Hs.371416
10499_at	NCOA2	Hs.446678
105_at	ADARB2	Hs.657984
1050_at	CEBPA	Hs.699463; Hs.719494
10500_at	SEMA6C	Hs.516316
10501_at	SEMA6B	Hs.465642
10505_at	SEMA4F	Hs.25887
10507_at	SEMA4D	Hs.494406
10509_at	SEMA4B	Hs.474935
1051_at	CEBPB	Hs.517106; Hs.701858; Hs.719041
10512_at	SEMA3C	Hs.269109
10513_at	APPBP2	Hs.84084
10514_at	MYBBP1A	Hs.22824
10516_at	FBLN5	Hs.332708
10518_at	CIB2	Hs.129867
10519_at	CIB1	Hs.715556
1052_at	CEBPD	Hs.440829
10520_at	ZNF211	Hs.590977
10521_at	DDX17	Hs.528305; Hs.665429; Hs.719084
10522_at	DEAF1	Hs.243994
10523_at	CHERP	Hs.631627
10524_at	KAT5	Hs.397010
10525_at	HYOU1	Hs.277704
10526_at	IPO8	Hs.505136
10528_at	NOP56	Hs.376064
10529_at	NEBL	Hs.5025
