ID	GSM597452	GSM597453	GSM597454	GSM597469	GSM597470	
Label	P	P	P	NP	NP	
161145_at	79.9	76.7	60.2	49.3	48.0	
161176_at	64.7	62.4	42.0	92.0	60.2	
161198_at	1278.3	1034.8	560.4	1122.7	1444.6	
1611_at	787.9	831.5	654.0	653.4	678.7	
161247_at	23.4	29.0	36.5	30.0	28.7	
161253_at	100.5	80.3	135.0	76.5	102.7	
161291_at	78.5	79.5	81.2	66.3	62.5	
1612_at	635.9	776.9	856.1	635.0	527.9	
161357_at	5.0	4.6	5.1	5.1	4.9	
161394_at	8.5	8.5	7.4	8.0	7.8	
1613_at	89.0	104.0	79.5	89.6	84.3	
161424_at	35.7	36.8	20.4	31.1	23.7	
161436_at	7.4	10.6	13.5	9.8	10.0	
161502_at	5.2	5.2	6.3	7.0	5.3	
161514_at	12.2	14.2	12.1	12.5	11.9	
161582_at	86.5	77.9	83.4	66.3	76.3	
1615_at	1802.7	1598.3	1540.1	1834.3	1624.5	
1616_at	583.1	597.4	479.6	486.8	580.0	
161725_at	17.6	17.5	16.6	18.2	18.9	
161742_at	390.9	377.7	375.0	381.1	319.2	
161753_at	19.5	27.8	33.1	47.4	36.8	
161779_at	70.5	50.8	35.8	32.9	54.2	
161823_at	17.5	22.9	24.3	22.4	28.6	
161829_at	6.8	6.3	6.8	14.0	8.1	
161835_at	10.0	6.1	4.3	7.1	7.7	
161882_at	63.0	81.1	73.5	67.8	67.4	
1618_at	7.0	4.7	5.1	5.6	7.3	
161931_at	14.7	17.7	17.9	11.2	18.9	
161_at	473.2	545.3	445.3	467.4	406.1	
162073_at	513.7	479.1	378.2	544.0	551.6	
162083_at	87.7	125.2	64.5	27.3	72.1	
1620_at	13.1	12.5	13.6	15.3	21.1	
162137_at	5.3	4.8	5.1	4.3	5.3	
1621_at	45.3	60.6	104.6	24.9	64.8	
162239_at	908.8	893.3	844.2	483.6	727.7	
162282_at	19.2	40.7	12.0	19.1	8.6	
1622_at	5367.4	4904.9	4518.1	7395.9	7374.2	
162333_at	7.0	7.5	8.2	8.9	7.7	
162387_at	17.6	20.2	20.9	26.4	23.5	
162394_at	173.6	89.6	41.1	116.1	82.0	
162417_at	76.8	52.1	31.9	37.2	35.3	
162427_at	2485.6	2396.8	1724.1	1990.0	2294.4	
162461_at	22.3	27.6	32.9	19.8	22.2	
162466_at	14.2	14.7	13.9	10.4	16.3	
162494_at	25.3	23.3	25.5	26.6	22.9	
162514_at	16.6	14.6	16.8	21.1	18.5	
162515_at	31.0	23.8	26.6	24.2	24.7	
162517_at	7.1	7.2	8.6	8.0	6.9	
162540_at	21.1	17.8	17.0	19.1	18.9	
162681_at	20.0	25.7	25.4	18.2	24.5	
1627_at	495.8	458.4	440.2	576.0	557.0	
1628_at	188.8	271.3	198.1	182.4	218.6	
162962_at	46.4	50.8	23.7	42.8	38.4	
162963_at	39.9	63.2	36.8	31.4	106.4	
162966_at	405.4	433.1	781.0	637.1	658.9	
162967_at	452.3	415.5	701.0	529.4	521.6	
162968_at	68.9	62.6	54.9	45.8	45.8	
162979_at	23.2	28.0	20.2	34.7	27.7	
162989_at	805.9	804.2	632.5	515.9	723.3	
162993_at	307.9	317.2	323.4	258.8	250.8	
162998_at	46.3	27.4	439.2	49.0	22.3	
1629_at	44.2	39.7	49.0	46.0	48.4	
162_at	422.6	413.6	438.0	453.8	400.6	
163033_at	178.9	184.9	203.7	144.0	170.4	
163050_at	587.7	636.2	527.9	530.6	481.7	
163071_at	36.6	27.9	14.8	28.2	41.4	
163081_at	28.2	18.8	22.5	24.7	25.5	
163087_at	569.6	454.1	833.3	622.1	390.3	
1630_at	4.8	5.7	5.3	5.9	5.2	
163115_at	28.8	23.3	39.3	31.6	43.1	
163126_at	477.4	465.0	393.8	346.0	410.3	
163131_at	3.5	3.7	4.2	3.6	3.3	
163154_at	27.0	23.0	44.8	32.9	37.8	
163175_at	1253.4	1381.1	1540.2	1158.2	1282.7	
163183_at	43.7	65.8	106.1	90.6	59.8	
