ID	ORF	UniGeneHsID	GSM597452	GSM597453	GSM597454	GSM597469	GSM597470	
Label			P	P	P	NP	NP	
26148_at	C10orf12	Hs.14555; Hs.427927	27.4	25.6	23.6	20.8	32.7	
26150_at	RIBC2	Hs.475110	12.3	14.1	15.3	18.2	21.8	
26151_at	NAT9	Hs.144058	248.3	281.4	284.1	250.0	279.4	
26152_at	ZNF337	Hs.633621; Hs.661684	336.7	499.8	590.7	413.0	507.2	
26153_at	KIF26A	Hs.134970	151.8	147.9	130.4	206.0	253.6	
26154_at	ABCA12	Hs.134585	5.4	4.0	4.4	5.3	4.4	
26155_at	NOC2L	Hs.405987	119.8	83.6	130.7	137.8	133.2	
26156_at	RSL1D1	Hs.401842	318.8	327.2	283.8	323.8	324.6	
26157_at	GIMAP2	Hs.647071	408.4	282.7	137.6	273.1	321.5	
2615_at	LRRC32	Hs.151641	1337.0	1251.6	834.7	1137.4	1355.4	
26160_at	IFT172	Hs.127401	283.4	445.9	751.4	538.9	527.6	
26164_at	GTPBP5	Hs.340636	72.0	60.9	65.1	71.8	83.3	
26166_at	RGS22	Hs.120021	160.5	231.9	233.9	202.3	253.6	
26167_at	PCDHB5	Hs.119693	200.1	160.8	316.3	96.9	282.8	
26168_at	SENP3	Hs.513926	145.1	122.2	168.2	134.0	171.6	
261726_at	TIPRL	Hs.209431	111.7	106.3	137.2	126.4	124.1	
261729_at	STEAP2	Hs.489051	278.2	383.3	364.2	514.4	391.7	
261734_at	NPHP4	Hs.462348	122.4	158.3	228.0	148.3	159.4	
26173_at	INTS1	Hs.532188	79.4	88.6	120.1	104.2	96.5	
26175_at	C14orf109	Hs.275352; Hs.648806	356.9	337.8	377.2	354.0	369.6	
2617_at	GARS	Hs.404321	2667.1	2499.2	2169.4	2712.5	2337.2	
26184_at	OR1F2P	Hs.651203	17.9	16.0	14.1	15.8	16.3	
26188_at	OR1C1	Hs.381306	6.6	4.4	5.1	4.7	4.4	
26189_at	OR1A2	Hs.532660	3.8	5.1	4.0	4.3	4.4	
2618_at	GART	Hs.473648	77.6	64.6	96.2	96.1	93.9	
26190_at	FBXW2	Hs.494985	486.6	541.7	528.4	479.2	530.8	
26191_at	PTPN22	Hs.535276; Hs.719840	12.3	10.7	14.2	19.6	15.6	
2619_at	GAS1	Hs.65029	136.5	96.0	102.9	156.3	100.3	
26205_at	GMEB2	Hs.473286	643.5	671.3	625.8	514.4	560.7	
26206_at	SPAG8	Hs.256747	109.8	186.6	213.1	157.7	132.9	
26207_at	PITPNC1	Hs.591185; Hs.696160	859.7	804.2	551.2	1133.8	996.4	
2620_at	GAS2	Hs.632151	223.9	281.1	776.2	207.8	305.3	
26211_at	OR2F1	Hs.553595	4.8	5.1	5.9	5.3	5.5	
26212_at	OR2B6	Hs.532145	4.0	5.5	5.3	5.2	5.4	
26219_at	OR1J4	Hs.632679	3.8	3.8	4.9	5.1	4.3	
2621_at	GAS6	Hs.646346	1120.6	1469.9	1289.6	1045.2	857.1	
26220_at	DGCR5	Hs.646438	26.4	25.6	25.5	25.7	34.3	
26223_at	FBXL21	Hs.591275	6.6	6.8	6.4	5.1	5.7	
26224_at	FBXL3	Hs.508284; Hs.719413	1927.7	1997.9	2277.3	1855.2	1905.5	
26225_at	ARL5A	Hs.470233	578.2	559.6	521.4	469.4	552.1	
